Channel,Time (s),Voltage (V)
CHANnel1,-0.05,2.889333
CHANnel1,-0.0499,2.921333
CHANnel1,-0.049800000000000004,2.9032
CHANnel1,-0.0497,2.857333
CHANnel1,-0.049600000000000005,2.9032
CHANnel1,-0.0495,2.852533
CHANnel1,-0.0494,2.880266
CHANnel1,-0.049300000000000004,2.825066
CHANnel1,-0.0492,2.843466
CHANnel1,-0.049100000000000005,2.793067
CHANnel1,-0.049,2.783733
CHANnel1,-0.048900000000000006,2.8344
CHANnel1,-0.0488,2.816
CHANnel1,-0.0487,2.861866
CHANnel1,-0.048600000000000004,2.857333
CHANnel1,-0.0485,2.9032
CHANnel1,-0.048400000000000006,2.8848
CHANnel1,-0.0483,2.944266
CHANnel1,-0.0482,2.9352
CHANnel1,-0.048100000000000004,2.8664
CHANnel1,-0.048,2.8848
CHANnel1,-0.047900000000000005,2.806666
CHANnel1,-0.0478,2.7792
CHANnel1,-0.047700000000000006,2.8296
CHANnel1,-0.0476,2.806666
CHANnel1,-0.0475,2.857333
CHANnel1,-0.047400000000000005,2.875466
CHANnel1,-0.0473,2.8296
CHANnel1,-0.047200000000000006,2.8848
CHANnel1,-0.0471,2.8296
CHANnel1,-0.047,2.838933
CHANnel1,-0.046900000000000004,2.870933
CHANnel1,-0.0468,2.8664
CHANnel1,-0.046700000000000005,2.820533
CHANnel1,-0.0466,2.843466
CHANnel1,-0.0465,2.788533
CHANnel1,-0.046400000000000004,2.8296
CHANnel1,-0.0463,2.783733
CHANnel1,-0.046200000000000005,2.811466
CHANnel1,-0.0461,2.907733
CHANnel1,-0.046,2.889333
CHANnel1,-0.0459,2.944266
CHANnel1,-0.0458,2.949066
CHANnel1,-0.045700000000000005,2.880266
CHANnel1,-0.0456,2.912266
CHANnel1,-0.0455,2.848
CHANnel1,-0.0454,2.852533
CHANnel1,-0.0453,2.793067
CHANnel1,-0.045200000000000004,2.8296
CHANnel1,-0.0451,2.783733
CHANnel1,-0.045000000000000005,2.788533
CHANnel1,-0.0449,2.843466
CHANnel1,-0.0448,2.825066
CHANnel1,-0.044700000000000004,2.8664
CHANnel1,-0.0446,2.9032
CHANnel1,-0.044500000000000005,2.857333
CHANnel1,-0.0444,2.8664
CHANnel1,-0.044300000000000006,2.9032
CHANnel1,-0.0442,2.8984
CHANnel1,-0.0441,2.861866
CHANnel1,-0.044000000000000004,2.8984
CHANnel1,-0.0439,2.848
CHANnel1,-0.043800000000000006,2.875466
CHANnel1,-0.0437,2.811466
CHANnel1,-0.0436,2.820533
CHANnel1,-0.043500000000000004,2.783733
CHANnel1,-0.0434,2.783733
CHANnel1,-0.043300000000000005,2.8296
CHANnel1,-0.0432,2.820533
CHANnel1,-0.0431,2.875466
CHANnel1,-0.043000000000000003,2.8664
CHANnel1,-0.0429,2.912266
CHANnel1,-0.042800000000000005,2.9032
CHANnel1,-0.0427,2.9536
CHANnel1,-0.0426,2.9352
CHANnel1,-0.0425,2.875466
CHANnel1,-0.0424,2.880266
CHANnel1,-0.042300000000000004,2.793067
CHANnel1,-0.0422,2.820533
CHANnel1,-0.0421,2.788533
CHANnel1,-0.042,2.7976
CHANnel1,-0.04190000000000001,2.852533
CHANnel1,-0.041800000000000004,2.8296
CHANnel1,-0.0417,2.875466
CHANnel1,-0.0416,2.875466
CHANnel1,-0.0415,2.838933
CHANnel1,-0.041400000000000006,2.825066
CHANnel1,-0.0413,2.870933
CHANnel1,-0.0412,2.8664
CHANnel1,-0.041100000000000005,2.816
CHANnel1,-0.041,2.838933
CHANnel1,-0.040900000000000006,2.783733
CHANnel1,-0.0408,2.788533
CHANnel1,-0.0407,2.820533
CHANnel1,-0.040600000000000004,2.802133
CHANnel1,-0.0405,2.9032
CHANnel1,-0.040400000000000005,2.880266
CHANnel1,-0.0403,2.949066
CHANnel1,-0.0402,2.8984
CHANnel1,-0.040100000000000004,2.9352
CHANnel1,-0.04,2.9032
CHANnel1,-0.039900000000000005,2.8296
CHANnel1,-0.0398,2.843466
CHANnel1,-0.0397,2.802133
CHANnel1,-0.0396,2.825066
CHANnel1,-0.0395,2.774666
CHANnel1,-0.039400000000000004,2.8296
CHANnel1,-0.0393,2.774666
CHANnel1,-0.0392,2.816
CHANnel1,-0.0391,2.8664
CHANnel1,-0.039,2.889333
CHANnel1,-0.038900000000000004,2.843466
CHANnel1,-0.0388,2.838933
CHANnel1,-0.0387,2.8984
CHANnel1,-0.0386,2.8984
CHANnel1,-0.038500000000000006,2.848
CHANnel1,-0.038400000000000004,2.9032
CHANnel1,-0.0383,2.843466
CHANnel1,-0.038200000000000005,2.875466
CHANnel1,-0.0381,2.806666
CHANnel1,-0.038000000000000006,2.8296
CHANnel1,-0.0379,2.793067
CHANnel1,-0.0378,2.774666
CHANnel1,-0.037700000000000004,2.8344
CHANnel1,-0.0376,2.816
CHANnel1,-0.037500000000000006,2.8984
CHANnel1,-0.0374,2.870933
CHANnel1,-0.0373,2.9352
CHANnel1,-0.037200000000000004,2.9352
CHANnel1,-0.0371,2.8984
CHANnel1,-0.037000000000000005,2.930666
CHANnel1,-0.0369,2.838933
CHANnel1,-0.0368,2.8664
CHANnel1,-0.0367,2.802133
CHANnel1,-0.0366,2.788533
CHANnel1,-0.036500000000000005,2.820533
CHANnel1,-0.0364,2.820533
CHANnel1,-0.0363,2.875466
CHANnel1,-0.0362,2.843466
CHANnel1,-0.0361,2.889333
CHANnel1,-0.036000000000000004,2.848
CHANnel1,-0.0359,2.8984
CHANnel1,-0.0358,2.838933
CHANnel1,-0.0357,2.8848
CHANnel1,-0.0356,2.8848
CHANnel1,-0.035500000000000004,2.8296
CHANnel1,-0.0354,2.843466
CHANnel1,-0.0353,2.793067
CHANnel1,-0.0352,2.783733
CHANnel1,-0.035100000000000006,2.8296
CHANnel1,-0.035,2.811466
CHANnel1,-0.0349,2.912266
CHANnel1,-0.034800000000000005,2.893866
CHANnel1,-0.0347,2.944266
CHANnel1,-0.034600000000000006,2.912266
CHANnel1,-0.0345,2.949066
CHANnel1,-0.0344,2.921333
CHANnel1,-0.0343,2.8664
CHANnel1,-0.0342,2.875466
CHANnel1,-0.034100000000000005,2.811466
CHANnel1,-0.034,2.783733
CHANnel1,-0.0339,2.843466
CHANnel1,-0.033800000000000004,2.793067
CHANnel1,-0.0337,2.8344
CHANnel1,-0.033600000000000005,2.816
CHANnel1,-0.0335,2.8664
CHANnel1,-0.0334,2.852533
CHANnel1,-0.0333,2.875466
CHANnel1,-0.0332,2.893866
CHANnel1,-0.033100000000000004,2.8344
CHANnel1,-0.033,2.889333
CHANnel1,-0.0329,2.848
CHANnel1,-0.0328,2.875466
CHANnel1,-0.03270000000000001,2.838933
CHANnel1,-0.032600000000000004,2.852533
CHANnel1,-0.0325,2.806666
CHANnel1,-0.0324,2.8296
CHANnel1,-0.0323,2.774666
CHANnel1,-0.032200000000000006,2.793067
CHANnel1,-0.032100000000000004,2.848
CHANnel1,-0.032,2.8344
CHANnel1,-0.0319,2.9032
CHANnel1,-0.0318,2.880266
CHANnel1,-0.031700000000000006,2.949066
CHANnel1,-0.0316,2.9352
CHANnel1,-0.0315,2.8848
CHANnel1,-0.0314,2.8984
CHANnel1,-0.0313,2.811466
CHANnel1,-0.031200000000000002,2.8344
CHANnel1,-0.031100000000000003,2.788533
CHANnel1,-0.031000000000000003,2.802133
CHANnel1,-0.0309,2.848
CHANnel1,-0.0308,2.8344
CHANnel1,-0.0307,2.889333
CHANnel1,-0.030600000000000002,2.8984
CHANnel1,-0.030500000000000003,2.843466
CHANnel1,-0.030400000000000003,2.889333
CHANnel1,-0.0303,2.848
CHANnel1,-0.0302,2.8984
CHANnel1,-0.030100000000000002,2.838933
CHANnel1,-0.030000000000000002,2.8848
CHANnel1,-0.029900000000000003,2.843466
CHANnel1,-0.0298,2.8664
CHANnel1,-0.0297,2.820533
CHANnel1,-0.0296,2.8344
CHANnel1,-0.029500000000000002,2.788533
CHANnel1,-0.029400000000000003,2.788533
CHANnel1,-0.029300000000000003,2.875466
CHANnel1,-0.0292,2.861866
CHANnel1,-0.0291,2.9352
CHANnel1,-0.029,2.9032
CHANnel1,-0.028900000000000002,2.944266
CHANnel1,-0.028800000000000003,2.921333
CHANnel1,-0.028700000000000003,2.857333
CHANnel1,-0.0286,2.875466
CHANnel1,-0.0285,2.816
CHANnel1,-0.0284,2.843466
CHANnel1,-0.028300000000000002,2.788533
CHANnel1,-0.028200000000000003,2.8296
CHANnel1,-0.028100000000000003,2.774666
CHANnel1,-0.028,2.793067
CHANnel1,-0.0279,2.843466
CHANnel1,-0.027800000000000002,2.811466
CHANnel1,-0.027700000000000002,2.857333
CHANnel1,-0.027600000000000003,2.811466
CHANnel1,-0.0275,2.857333
CHANnel1,-0.0274,2.820533
CHANnel1,-0.0273,2.8664
CHANnel1,-0.027200000000000002,2.852533
CHANnel1,-0.027100000000000003,2.802133
CHANnel1,-0.027000000000000003,2.825066
CHANnel1,-0.0269,2.783733
CHANnel1,-0.0268,2.825066
