Channel,Time (s),Voltage (V)
CHANnel1,-0.033600000000000005,5.123466
CHANnel1,-0.0335,5.201333
CHANnel1,-0.0334,5.187733
CHANnel1,-0.0333,5.251999
CHANnel1,-0.0332,5.2472
CHANnel1,-0.033100000000000004,5.183199
CHANnel1,-0.033,5.196799
CHANnel1,-0.0329,5.100533
CHANnel1,-0.0328,5.091199
CHANnel1,-0.03270000000000001,5.141866
CHANnel1,-0.032600000000000004,5.1096
CHANnel1,-0.0325,5.173866
CHANnel1,-0.0324,5.141866
CHANnel1,-0.0323,5.183199
CHANnel1,-0.032200000000000006,5.150933
CHANnel1,-0.032100000000000004,5.192266
CHANnel1,-0.032,5.173866
CHANnel1,-0.0319,5.137333
CHANnel1,-0.0318,5.150933
CHANnel1,-0.031700000000000006,5.091199
CHANnel1,-0.0316,5.091199
CHANnel1,-0.0315,5.146399
CHANnel1,-0.0314,5.118933
CHANnel1,-0.0313,5.238133
CHANnel1,-0.031200000000000002,5.265599
CHANnel1,-0.031100000000000003,5.206133
CHANnel1,-0.031000000000000003,5.229066
CHANnel1,-0.0309,5.146399
CHANnel1,-0.0308,5.173866
CHANnel1,-0.0307,5.105066
CHANnel1,-0.030600000000000002,5.091199
CHANnel1,-0.030500000000000003,5.169333
CHANnel1,-0.030400000000000003,5.123466
CHANnel1,-0.0303,5.187733
CHANnel1,-0.0302,5.173866
CHANnel1,-0.030100000000000002,5.2336
CHANnel1,-0.030000000000000002,5.215199
CHANnel1,-0.029900000000000003,5.1648
CHANnel1,-0.0298,5.206133
CHANnel1,-0.0297,5.160266
CHANnel1,-0.0296,5.160266
CHANnel1,-0.029500000000000002,5.196799
CHANnel1,-0.029400000000000003,5.187733
CHANnel1,-0.029300000000000003,5.137333
CHANnel1,-0.0292,5.132533
CHANnel1,-0.0291,5.173866
CHANnel1,-0.029,5.150933
CHANnel1,-0.028900000000000002,5.201333
CHANnel1,-0.028800000000000003,5.206133
CHANnel1,-0.028700000000000003,5.1648
CHANnel1,-0.0286,5.192266
CHANnel1,-0.0285,5.146399
CHANnel1,-0.0284,5.155466
CHANnel1,-0.028300000000000002,5.105066
CHANnel1,-0.028200000000000003,5.100533
CHANnel1,-0.028100000000000003,5.127999
CHANnel1,-0.028,5.1096
CHANnel1,-0.0279,5.206133
CHANnel1,-0.027800000000000002,5.206133
CHANnel1,-0.027700000000000002,5.265599
CHANnel1,-0.027600000000000003,5.261066
CHANnel1,-0.0275,5.196799
CHANnel1,-0.0274,5.201333
CHANnel1,-0.0273,5.114399
CHANnel1,-0.027200000000000002,5.137333
CHANnel1,-0.027100000000000003,5.091199
CHANnel1,-0.027000000000000003,5.100533
CHANnel1,-0.0269,5.160266
CHANnel1,-0.0268,5.118933
CHANnel1,-0.0267,5.173866
CHANnel1,-0.026600000000000002,5.160266
CHANnel1,-0.026500000000000003,5.118933
CHANnel1,-0.026400000000000003,5.160266
CHANnel1,-0.0263,5.114399
CHANnel1,-0.0262,5.137333
CHANnel1,-0.0261,5.096
CHANnel1,-0.026000000000000002,5.086666
CHANnel1,-0.025900000000000003,5.169333
CHANnel1,-0.0258,5.169333
CHANnel1,-0.0257,5.270133
CHANnel1,-0.0256,5.251999
CHANnel1,-0.025500000000000002,5.196799
CHANnel1,-0.025400000000000002,5.219733
CHANnel1,-0.025300000000000003,5.141866
CHANnel1,-0.0252,5.137333
CHANnel1,-0.0251,5.105066
CHANnel1,-0.025,5.1096
CHANnel1,-0.024900000000000002,5.173866
CHANnel1,-0.024800000000000003,5.192266
CHANnel1,-0.024700000000000003,5.155466
CHANnel1,-0.0246,5.1784
CHANnel1,-0.0245,5.219733
CHANnel1,-0.0244,5.173866
CHANnel1,-0.024300000000000002,5.219733
CHANnel1,-0.024200000000000003,5.196799
CHANnel1,-0.0241,5.137333
CHANnel1,-0.024,5.183199
CHANnel1,-0.0239,5.132533
CHANnel1,-0.0238,5.137333
CHANnel1,-0.023700000000000002,5.183199
CHANnel1,-0.023600000000000003,5.192266
CHANnel1,-0.0235,5.146399
CHANnel1,-0.0234,5.219733
CHANnel1,-0.0233,5.169333
CHANnel1,-0.023200000000000002,5.215199
CHANnel1,-0.023100000000000002,5.169333
CHANnel1,-0.023000000000000003,5.206133
CHANnel1,-0.0229,5.150933
CHANnel1,-0.0228,5.169333
CHANnel1,-0.0227,5.114399
CHANnel1,-0.022600000000000002,5.137333
CHANnel1,-0.022500000000000003,5.091199
CHANnel1,-0.0224,5.105066
CHANnel1,-0.0223,5.183199
CHANnel1,-0.0222,5.201333
CHANnel1,-0.0221,5.261066
CHANnel1,-0.022000000000000002,5.261066
CHANnel1,-0.021900000000000003,5.210666
CHANnel1,-0.0218,5.192266
CHANnel1,-0.0217,5.123466
CHANnel1,-0.0216,5.096
CHANnel1,-0.021500000000000002,5.137333
CHANnel1,-0.021400000000000002,5.100533
CHANnel1,-0.021300000000000003,5.141866
CHANnel1,-0.0212,5.100533
CHANnel1,-0.0211,5.155466
CHANnel1,-0.021,5.105066
CHANnel1,-0.020900000000000002,5.160266
CHANnel1,-0.020800000000000003,5.160266
CHANnel1,-0.0207,5.1096
CHANnel1,-0.0206,5.141866
CHANnel1,-0.0205,5.100533
CHANnel1,-0.0204,5.123466
CHANnel1,-0.020300000000000002,5.196799
CHANnel1,-0.020200000000000003,5.192266
CHANnel1,-0.0201,5.279466
CHANnel1,-0.02,5.265599
CHANnel1,-0.0199,5.160266
CHANnel1,-0.0198,5.183199
CHANnel1,-0.019700000000000002,5.114399
CHANnel1,-0.019600000000000003,5.086666
CHANnel1,-0.0195,5.146399
CHANnel1,-0.0194,5.114399
CHANnel1,-0.0193,5.1784
CHANnel1,-0.019200000000000002,5.160266
CHANnel1,-0.019100000000000002,5.206133
CHANnel1,-0.019000000000000003,5.219733
CHANnel1,-0.0189,5.173866
CHANnel1,-0.0188,5.169333
CHANnel1,-0.0187,5.215199
CHANnel1,-0.0186,5.192266
CHANnel1,-0.018500000000000003,5.141866
CHANnel1,-0.0184,5.173866
CHANnel1,-0.018300000000000004,5.146399
CHANnel1,-0.0182,5.187733
CHANnel1,-0.018099999999999998,5.137333
CHANnel1,-0.018000000000000002,5.150933
CHANnel1,-0.0179,5.192266
CHANnel1,-0.017800000000000003,5.1648
CHANnel1,-0.0177,5.215199
CHANnel1,-0.017600000000000005,5.173866
CHANnel1,-0.0175,5.219733
CHANnel1,-0.0174,5.206133
CHANnel1,-0.017300000000000003,5.150933
CHANnel1,-0.0172,5.1784
CHANnel1,-0.017100000000000004,5.118933
CHANnel1,-0.017,5.132533
CHANnel1,-0.0169,5.096
CHANnel1,-0.016800000000000002,5.105066
CHANnel1,-0.0167,5.219733
CHANnel1,-0.016600000000000004,5.183199
CHANnel1,-0.0165,5.265599
CHANnel1,-0.016399999999999998,5.251999
CHANnel1,-0.016300000000000002,5.219733
CHANnel1,-0.0162,5.215199
CHANnel1,-0.016100000000000003,5.123466
CHANnel1,-0.016,5.137333
CHANnel1,-0.015900000000000004,5.100533
CHANnel1,-0.0158,5.127999
CHANnel1,-0.0157,5.100533
CHANnel1,-0.015600000000000003,5.155466
CHANnel1,-0.0155,5.100533
CHANnel1,-0.015400000000000004,5.114399
CHANnel1,-0.015300000000000001,5.150933
CHANnel1,-0.015199999999999998,5.146399
CHANnel1,-0.015100000000000002,5.105066
CHANnel1,-0.015,5.082133
CHANnel1,-0.014900000000000004,5.150933
CHANnel1,-0.0148,5.132533
CHANnel1,-0.014699999999999998,5.210666
CHANnel1,-0.014600000000000002,5.192266
CHANnel1,-0.014499999999999999,5.2472
CHANnel1,-0.014400000000000003,5.238133
CHANnel1,-0.0143,5.155466
CHANnel1,-0.014200000000000004,5.169333
CHANnel1,-0.014100000000000001,5.096
CHANnel1,-0.013999999999999999,5.091199
CHANnel1,-0.013900000000000003,5.150933
CHANnel1,-0.0138,5.127999
CHANnel1,-0.013700000000000004,5.187733
CHANnel1,-0.013600000000000001,5.160266
CHANnel1,-0.013499999999999998,5.196799
CHANnel1,-0.013400000000000002,5.160266
CHANnel1,-0.0133,5.219733
CHANnel1,-0.013200000000000003,5.196799
CHANnel1,-0.0131,5.141866
CHANnel1,-0.012999999999999998,5.1784
CHANnel1,-0.012900000000000002,5.114399
CHANnel1,-0.012799999999999999,5.169333
CHANnel1,-0.012700000000000003,5.123466
CHANnel1,-0.0126,5.1648
CHANnel1,-0.012500000000000004,5.127999
CHANnel1,-0.012400000000000001,5.137333
CHANnel1,-0.012299999999999998,5.192266
CHANnel1,-0.012200000000000003,5.210666
CHANnel1,-0.0121,5.1648
CHANnel1,-0.012000000000000004,5.169333
CHANnel1,-0.0119,5.210666
CHANnel1,-0.011799999999999998,5.201333
CHANnel1,-0.011700000000000002,5.160266
CHANnel1,-0.0116,5.169333
CHANnel1,-0.011500000000000003,5.1096
CHANnel1,-0.0114,5.141866
CHANnel1,-0.011299999999999998,5.100533
CHANnel1,-0.011200000000000002,5.105066
CHANnel1,-0.011099999999999999,5.160266
CHANnel1,-0.011000000000000003,5.173866
CHANnel1,-0.0109,5.2472
CHANnel1,-0.010800000000000004,5.224266
CHANnel1,-0.010700000000000001,5.270133
CHANnel1,-0.010599999999999998,5.229066
CHANnel1,-0.010500000000000002,5.132533
CHANnel1,-0.0104,5.132533
CHANnel1,-0.010300000000000004,5.091199
CHANnel1,-0.0102,5.096
CHANnel1,-0.010099999999999998,5.146399
CHANnel1,-0.010000000000000002,5.086666
CHANnel1,-0.009899999999999999,5.127999
CHANnel1,-0.009800000000000003,5.105066
CHANnel1,-0.0097,5.141866
CHANnel1,-0.009599999999999997,5.096
CHANnel1,-0.009500000000000001,5.146399
CHANnel1,-0.009399999999999999,5.091199
CHANnel1,-0.009300000000000003,5.160266
CHANnel1,-0.0092,5.150933
CHANnel1,-0.009100000000000004,5.215199
CHANnel1,-0.009000000000000001,5.201333
CHANnel1,-0.008899999999999998,5.256533
CHANnel1,-0.008800000000000002,5.242666
CHANnel1,-0.0087,5.169333
