ConfigNumber,InputState_Heater36,InputState_Heater37,Output1,Output2,Output3,Output4
103,0.1,4.9,4.587,2.251,7.033,1.794
103,4.9,0.1,2.054,2.302,7.033,0.9973
103,4.9,4.9,5.578,0.9075,4.368,3.943
106,0.1,0.1,4.229,6.936,3.191,1.313
106,0.1,4.9,4.234,4.614,5.888,0.4341
106,4.9,0.1,4.146,4.5,5.612,0.4299
106,4.9,4.9,3.064,2.951,5.074,3.875
108,0.1,0.1,7.009,1.648,1.073,0.8485
108,0.1,4.9,6.922,1.936,3.861,1.488
108,4.9,0.1,6.958,1.959,1.716,2.574
108,4.9,4.9,6.123,3.924,1.924,3.146
109,0.1,0.1,3.247,6.763,3.209,8.614
109,0.1,4.9,4.302,3.933,3.033,9.429
109,4.9,0.1,4.678,3.202,2.386,9.429
109,4.9,4.9,4.619,5.209,1.25,8.222
113,0.1,0.1,3.027,4.198,3.363,7.177
113,0.1,4.9,5.977,0.848,2.911,1.803
113,4.9,0.1,5.848,1.854,3.254,2.344
113,4.9,4.9,1.944,6.859,1.942,2.33
116,0.1,0.1,6.926,2.622,4.246,3.587
116,0.1,4.9,6.903,4.308,3.245,1.957
116,4.9,0.1,1.999,6.927,1.39,1.578
116,4.9,4.9,1.99,6.964,1.639,1.691
125,0.1,0.1,1.022,6.872,0.716,9.429
125,0.1,4.9,3.899,6.9,4.458,2.682
125,4.9,0.1,3.165,2.27,1.997,5.623
125,4.9,4.9,4.99,1.781,3.508,8.339
126,0.1,0.1,6.972,1.822,3.874,5.029
126,0.1,4.9,6.935,3.673,5.793,8.159
126,4.9,0.1,6.935,3.696,5.793,8.416
126,4.9,4.9,6.881,2.055,3.721,1.988
137,0.1,0.1,3.977,1.223,7.019,4.889
137,0.1,4.9,3.665,6.914,1.445,3.173
137,4.9,0.1,2.885,6.831,0.8789,2.772
137,4.9,4.9,2.898,6.831,0.8155,2.731
140,0.1,0.1,0.912,6.964,1.367,1.835
140,0.1,4.9,1.614,5.017,2.091,1.691
140,4.9,0.1,0.8112,6.749,1.739,4.128
140,4.9,4.9,1.045,6.616,1.82,4.209
142,0.1,0.1,2.348,6.968,2.128,0.592
142,0.1,4.9,0.5589,6.607,5.363,1.853
142,4.9,0.1,2.875,6.95,3.209,1.317
142,4.9,4.9,6.963,1.296,0.6752,0.5197
146,0.1,0.1,1.215,6.585,1.698,3.299
146,0.1,4.9,0.6552,3.91,7.015,3.276
146,4.9,0.1,0.7104,4.047,6.988,4.24
146,4.9,4.9,2.279,2.736,7.028,2.335
149,0.1,0.1,0.4627,6.955,4.951,4.668
149,0.1,4.9,3.683,1.392,2.725,5.718
149,4.9,0.1,3.16,6.914,1.087,3.722
149,4.9,4.9,3.082,6.936,1.141,3.637
151,0.1,0.1,3.087,2.347,6.155,1.61
151,0.1,4.9,3.192,2.388,6.105,2.015
151,4.9,0.1,3.082,6.891,3.033,3.245
151,4.9,4.9,2.375,6.959,3.074,2.119
159,0.1,0.1,4.068,5.396,7.033,2.006
159,0.1,4.9,4.078,5.314,2.182,2.155
159,4.9,0.1,1.472,6.941,2.911,2.889
159,4.9,4.9,2.398,3.746,6.033,3.47
164,0.1,0.1,2.752,4.783,3.263,8.947
164,0.1,4.9,2.752,4.742,4.472,5.754
164,4.9,0.1,2.458,6.959,1.834,0.9477
164,4.9,4.9,0.3296,6.968,3.861,1.322
165,0.1,0.1,3.27,6.347,0.5531,1.61
165,0.1,4.9,1.1,6.886,3.811,9.425
165,4.9,0.1,1.247,5.945,3.553,9.429
165,4.9,4.9,1.137,5.661,4.146,9.411
166,0.1,0.1,3.33,6.973,1.793,3.74
166,0.1,4.9,2.334,6.918,4.63,4.884
166,4.9,0.1,1.229,3.833,1.942,9.465
166,4.9,4.9,5.252,3.531,5.893,9.438
169,0.1,0.1,7.018,2.119,1.535,9.105
169,0.1,4.9,7.032,4.121,1.209,1.736
169,4.9,0.1,7.014,4.107,4.879,0.4747
169,4.9,4.9,6.917,1.328,3.544,2.078
176,0.1,0.1,3.706,6.534,4.472,2.029
176,0.1,4.9,2.545,2.987,6.979,2.448
176,4.9,0.1,2.582,4.162,5.929,3.177
176,4.9,4.9,1.665,1.346,6.313,1.691
181,0.1,0.1,4.633,1.717,2.282,8.461
181,0.1,4.9,4.44,5.442,3.214,7.866
181,4.9,0.1,4.261,5.35,3.132,7.812
181,4.9,4.9,4.275,3.243,2.653,7.366
183,0.1,0.1,2.545,3.216,6.517,2.898
183,0.1,4.9,3.807,2.676,6.707,1.448
183,4.9,0.1,7.018,2.681,1.359,3.069
183,4.9,4.9,6.935,2.228,0.6661,3.506
187,0.1,0.1,3.321,6.941,2.273,4.357
187,0.1,4.9,3.155,6.941,2.114,4.542
187,4.9,0.1,1.362,6.927,3.435,4.844
187,4.9,4.9,1.926,0.9989,1.087,4.087
193,0.1,0.1,7.023,3.97,1.245,4.61
193,0.1,4.9,4.412,2.909,7.037,8.785
193,4.9,0.1,5.518,0.5645,3.531,7.416
193,4.9,4.9,6.958,3.627,2.499,4.938
196,0.1,0.1,2.238,1.122,5.395,4.096
196,0.1,4.9,1.201,6.936,2.254,1.11
196,4.9,0.1,1.261,6.927,1.893,0.8171
196,4.9,4.9,2.036,6.891,1.558,1.727
200,0.1,0.1,5.238,5.753,1.766,6.826
200,0.1,4.9,6.958,0.2445,3.259,2.858
200,4.9,0.1,4.834,0.3909,5.567,6.695
200,4.9,4.9,6.991,1.054,5.617,5.137
204,0.1,0.1,2.275,5.053,7.024,4.646
204,0.1,4.9,2.431,6.936,2.734,3.123
204,4.9,0.1,1.486,6.918,2.381,2.921
204,4.9,4.9,1.238,2.59,6.472,3.051
206,0.1,0.1,2.972,4.171,7.024,9.407
206,0.1,4.9,2.527,1.899,7.06,3.61
206,4.9,0.1,1.366,3.243,7.042,3.47
206,4.9,4.9,5.77,1.419,7.065,4.641
224,0.1,0.1,3.38,5.999,2.331,0.9837
224,0.1,4.9,5.013,2.69,1.318,2.614
224,4.9,0.1,3.77,2.928,5.798,1.155
224,4.9,4.9,5.591,5.524,6.988,1.619
226,0.1,0.1,3.958,5.625,2.463,7.254
226,0.1,4.9,5.954,2.046,3.549,3.038
226,4.9,0.1,4.348,2.046,1.834,2.416
226,4.9,4.9,2.531,6.895,1.028,0.6909
228,0.1,0.1,1.33,4.491,1.96,1.758
228,0.1,4.9,2.366,6.754,0.2997,2.439
228,4.9,0.1,5.513,6.516,1.445,3.538
228,4.9,4.9,0.3432,4.729,0.4491,1.867
230,0.1,0.1,3.22,5.835,7.033,4.281
230,0.1,4.9,4.101,4.212,6.15,2.781
230,4.9,0.1,2.898,2.928,6.911,1.984
230,4.9,4.9,4.784,2.206,2.965,9.452
231,0.1,0.1,0.4901,1.922,3.503,7.817
231,0.1,4.9,2.339,1.241,4.037,6.893
231,4.9,0.1,4.22,5.675,2.63,3.249
