timestamp,A,B,OUT,,,,,,,,,,,,,,
32.32713246,0.1507,4.695,1.387,,,,,,,,,,,,,,
32.62287211,0.1507,4.695,1.325,,,,,,,,,,,,,,
32.92378116,0.1552,4.69,1.387,,,,,,,,,,,,,,
33.24059892,0.1507,4.686,1.285,,,,,,,,,,,,,,
33.52754092,0.1507,4.69,1.294,,,,,,,,,,,,,,
34.38686967,4.685,0.1827,1.311,,,,,,,,,,,,,,
34.67102718,4.685,0.1872,1.316,,,,,,,,,,,,,,
34.97496581,4.69,0.1784,1.334,,,,,,,,,,,,,,
35.24986219,4.69,0.1827,1.325,,,,,,,,,,,,,,
35.54770327,4.69,0.1872,1.28,,,,,,,,,,,,,,
35.76119399,4.69,0.1784,1.334,,,,,,,,,,,,,,
35.95260692,4.69,0.1827,1.311,,,,,,,,,,,,,,
36.23987603,4.69,0.1827,1.325,,,,,,,,,,,,,,
36.53720236,4.69,0.1872,1.329,,,,,,,,,,,,,,
36.85037875,4.685,0.1827,1.361,,,,,,,,,,,,,,
37.65470433,4.681,4.686,5.787,,,,,,,,,,,,,,
37.96521688,4.685,4.69,5.439,,,,,,,,,,,,,,
38.2624507,4.685,4.686,5.511,,,,,,,,,,,,,,
38.56780744,4.681,4.695,5.479,,,,,,,,,,,,,,
38.86044669,4.681,4.695,5.654,,,,,,,,,,,,,,
39.15520549,4.685,4.686,5.743,,,,,,,,,,,,,,
39.44929194,4.681,4.695,5.533,,,,,,,,,,,,,,
39.72086024,4.685,4.686,5.542,,,,,,,,,,,,,,
40.02585888,4.685,4.686,5.377,,,,,,,,,,,,,,
40.31045079,4.676,4.686,5.743,,,,,,,,,,,,,,
41.12895012,0.1461,0.1784,1.423,,,,,,,,,,,,,,
41.43445849,0.1507,0.1739,1.325,,,,,,,,,,,,,,
